1: sp-clause-activity-inc='1.0', sp-clause-decay='1.4', sp-clause-del-heur='2', sp-clause-inversion='1', sp-first-restart='100', sp-learned-clause-sort-heur='0', sp-learned-clauses-inc='1.3', sp-learned-size-factor='0.4', sp-max-res-lit-inc='1.0', sp-max-res-runs='4', sp-orig-clause-sort-heur='0', sp-phase-dec-heur='5', sp-rand-phase-dec-freq='0.001', sp-rand-phase-scaling='1.0', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='1.0', sp-res-cutoff-cls='8', sp-res-cutoff-lits='400', sp-res-order-heur='0', sp-resolution='1', sp-restart-inc='1.5', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.0', sp-var-dec-heur='0', sp-variable-decay='1.4'
22: sp-clause-activity-inc='1.0', sp-clause-decay='1.039074180690563', sp-clause-del-heur='2', sp-clause-inversion='1', sp-first-restart='25', sp-learned-clause-sort-heur='10', sp-learned-clauses-inc='1.4000412919292133', sp-learned-size-factor='0.5601475127286595', sp-max-res-lit-inc='1.0', sp-max-res-runs='4', sp-orig-clause-sort-heur='19', sp-phase-dec-heur='1', sp-rand-phase-dec-freq='0.001', sp-rand-phase-scaling='1.0', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='1.0', sp-res-cutoff-cls='8', sp-res-cutoff-lits='400', sp-res-order-heur='0', sp-resolution='1', sp-restart-inc='1.6651753266274532', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.0', sp-var-dec-heur='16', sp-variable-decay='1.4'
23: sp-clause-activity-inc='1.3899651397491501', sp-clause-decay='1.5366525811830842', sp-clause-del-heur='2', sp-clause-inversion='1', sp-first-restart='332', sp-learned-clause-sort-heur='14', sp-learned-clauses-inc='1.241247384590272', sp-learned-size-factor='0.9842804134628229', sp-max-res-lit-inc='0.976229295924218', sp-max-res-runs='4', sp-orig-clause-sort-heur='16', sp-phase-dec-heur='5', sp-rand-phase-dec-freq='0.01', sp-rand-phase-scaling='0.6892474098040202', sp-rand-var-dec-freq='0.01', sp-rand-var-dec-scaling='0.7092054594431971', sp-res-cutoff-cls='2', sp-res-cutoff-lits='170', sp-res-order-heur='13', sp-resolution='2', sp-restart-inc='1.1426491207633356', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.0653589425481136', sp-var-dec-heur='2', sp-variable-decay='1.4583317701878606'
24: sp-clause-activity-inc='1.2913641134717677', sp-clause-decay='1.8365331418488982', sp-clause-del-heur='0', sp-clause-inversion='1', sp-first-restart='275', sp-learned-clause-sort-heur='10', sp-learned-clauses-inc='1.2691056014524555', sp-learned-size-factor='1.1004459651762297', sp-max-res-lit-inc='0.6856272955823313', sp-max-res-runs='3', sp-orig-clause-sort-heur='19', sp-phase-dec-heur='1', sp-rand-phase-dec-freq='0.001', sp-rand-phase-scaling='0.37843277301428807', sp-rand-var-dec-freq='0.0001', sp-rand-var-dec-scaling='0.8029189843541653', sp-res-cutoff-cls='5', sp-res-cutoff-lits='250', sp-res-order-heur='12', sp-resolution='2', sp-restart-inc='1.8351603017632194', sp-update-dec-queue='0', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.0655071651803514', sp-var-dec-heur='16', sp-variable-decay='1.7294992739459978'
25: sp-clause-activity-inc='0.5511821532001392', sp-clause-decay='1.1721943307026033', sp-clause-del-heur='0', sp-clause-inversion='0', sp-first-restart='196', sp-learned-clause-sort-heur='16', sp-learned-clauses-inc='1.1964425604195557', sp-learned-size-factor='0.5612739537742247', sp-max-res-lit-inc='1.9092784850759261', sp-max-res-runs='8', sp-orig-clause-sort-heur='8', sp-phase-dec-heur='0', sp-rand-phase-dec-freq='0', sp-rand-phase-scaling='0.8562690529549359', sp-rand-var-dec-freq='0.05', sp-rand-var-dec-scaling='0.9514157518654933', sp-res-cutoff-cls='8', sp-res-cutoff-lits='493', sp-res-order-heur='11', sp-resolution='0', sp-restart-inc='1.2140641775204457', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='0.9244697871042722', sp-var-dec-heur='16', sp-variable-decay='1.4078289260803114'
26: sp-clause-activity-inc='1.2329565228883832', sp-clause-decay='1.1686032463075244', sp-clause-del-heur='1', sp-clause-inversion='0', sp-first-restart='344', sp-learned-clause-sort-heur='0', sp-learned-clauses-inc='1.3753892981846652', sp-learned-size-factor='1.2894568825431294', sp-max-res-lit-inc='0.4713443384919781', sp-max-res-runs='10', sp-orig-clause-sort-heur='12', sp-phase-dec-heur='4', sp-rand-phase-dec-freq='0.005', sp-rand-phase-scaling='0.9178342657834495', sp-rand-var-dec-freq='0.005', sp-rand-var-dec-scaling='0.7392691381601113', sp-res-cutoff-cls='3', sp-res-cutoff-lits='269', sp-res-order-heur='7', sp-resolution='2', sp-restart-inc='1.4603781380252077', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='0.765036422375451', sp-var-dec-heur='12', sp-variable-decay='1.4429516556270818'
27: sp-clause-activity-inc='1.081463242567245', sp-clause-decay='1.8679822360447997', sp-clause-del-heur='0', sp-clause-inversion='0', sp-first-restart='166', sp-learned-clause-sort-heur='7', sp-learned-clauses-inc='1.1686178556810858', sp-learned-size-factor='0.39190109754419067', sp-max-res-lit-inc='2.558497131404835', sp-max-res-runs='6', sp-orig-clause-sort-heur='7', sp-phase-dec-heur='0', sp-rand-phase-dec-freq='0.05', sp-rand-phase-scaling='1.0951204741920506', sp-rand-var-dec-freq='0.01', sp-rand-var-dec-scaling='0.4246288961460879', sp-res-cutoff-cls='6', sp-res-cutoff-lits='743', sp-res-order-heur='11', sp-resolution='0', sp-restart-inc='1.3156312006759954', sp-update-dec-queue='0', sp-use-pure-literal-rule='0', sp-var-activity-inc='0.880491653606255', sp-var-dec-heur='16', sp-variable-decay='1.9436605838625645'
28: sp-clause-activity-inc='0.6865499088699029', sp-clause-decay='1.320376012712244', sp-clause-del-heur='0', sp-clause-inversion='1', sp-first-restart='291', sp-learned-clause-sort-heur='2', sp-learned-clauses-inc='1.4964455421046619', sp-learned-size-factor='0.777914997260281', sp-max-res-lit-inc='0.6768705492783831', sp-max-res-runs='12', sp-orig-clause-sort-heur='14', sp-phase-dec-heur='6', sp-rand-phase-dec-freq='0.005', sp-rand-phase-scaling='0.8907429778261178', sp-rand-var-dec-freq='0.0001', sp-rand-var-dec-scaling='0.9706743799787165', sp-res-cutoff-cls='8', sp-res-cutoff-lits='466', sp-res-order-heur='3', sp-resolution='0', sp-restart-inc='1.5054316762628557', sp-update-dec-queue='0', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.0615755426397047', sp-var-dec-heur='1', sp-variable-decay='1.2020717974461483'
29: sp-clause-activity-inc='1.0', sp-clause-decay='1.6513113515930715', sp-clause-del-heur='1', sp-clause-inversion='1', sp-first-restart='26', sp-learned-clause-sort-heur='17', sp-learned-clauses-inc='1.1676350594333875', sp-learned-size-factor='0.5745630109826007', sp-max-res-lit-inc='1.0', sp-max-res-runs='4', sp-orig-clause-sort-heur='8', sp-phase-dec-heur='0', sp-rand-phase-dec-freq='0.001', sp-rand-phase-scaling='1.0', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='1.0', sp-res-cutoff-cls='8', sp-res-cutoff-lits='400', sp-res-order-heur='0', sp-resolution='1', sp-restart-inc='1.5', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.0', sp-var-dec-heur='2', sp-variable-decay='1.4'
30: sp-clause-activity-inc='0.8885940846631462', sp-clause-decay='1.1972114597866004', sp-clause-del-heur='1', sp-clause-inversion='0', sp-first-restart='106', sp-learned-clause-sort-heur='1', sp-learned-clauses-inc='1.4652379344562703', sp-learned-size-factor='0.15557589153718643', sp-max-res-lit-inc='0.7025279841656387', sp-max-res-runs='5', sp-orig-clause-sort-heur='13', sp-phase-dec-heur='2', sp-rand-phase-dec-freq='0', sp-rand-phase-scaling='0.7002032250107142', sp-rand-var-dec-freq='0.0001', sp-rand-var-dec-scaling='1.0694843425706106', sp-res-cutoff-cls='11', sp-res-cutoff-lits='122', sp-res-order-heur='6', sp-resolution='0', sp-restart-inc='1.530527664077847', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='0.9498896936410435', sp-var-dec-heur='16', sp-variable-decay='1.1349129926565429'
31: sp-clause-activity-inc='0.5511821532001392', sp-clause-decay='1.0097026380856662', sp-clause-del-heur='0', sp-clause-inversion='0', sp-first-restart='26', sp-learned-clause-sort-heur='17', sp-learned-clauses-inc='1.1964425604195557', sp-learned-size-factor='0.5612739537742247', sp-max-res-lit-inc='1.9092784850759261', sp-max-res-runs='8', sp-orig-clause-sort-heur='8', sp-phase-dec-heur='1', sp-rand-phase-dec-freq='0', sp-rand-phase-scaling='0.8562690529549359', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='0.9514157518654933', sp-res-cutoff-cls='8', sp-res-cutoff-lits='493', sp-res-order-heur='11', sp-resolution='2', sp-restart-inc='1.2140641775204457', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.2428322874423527', sp-var-dec-heur='2', sp-variable-decay='1.4078289260803114'
